Date,Timestamp,Open,High,Low,Close,Volume
2019-11-01 00:00:00,1572566400000,9140.86,9144.7,9090.08,9092.65,2304.69225
2019-11-01 02:00:00,1572573600000,9092.71,9140.61,9043.85,9063.13,2939.149235
2019-11-01 04:00:00,1572580800000,9064.12,9111.58,9030.0,9080.79,2061.519597
2019-11-01 06:00:00,1572588000000,9080.62,9137.0,9070.0,9099.0,2203.128734
2019-11-01 08:00:00,1572595200000,9099.43,9174.99,9088.88,9103.12,3674.177977
2019-11-01 10:00:00,1572602400000,9103.42,9279.0,9095.13,9163.16,7024.172793
2019-11-01 12:00:00,1572609600000,9164.56,9219.98,9061.65,9112.86,5770.403777
2019-11-01 14:00:00,1572616800000,9111.95,9248.51,9075.8,9082.43,5081.952352
2019-11-01 16:00:00,1572624000000,9082.43,9202.0,9060.0,9159.94,4280.726059
2019-11-01 18:00:00,1572631200000,9160.16,9213.57,9148.84,9170.49,2014.199182
2019-11-01 20:00:00,1572638400000,9170.09,9275.0,9167.15,9259.21,3186.822283
2019-11-01 22:00:00,1572645600000,9256.41,9277.16,9183.67,9231.61,3053.869876
2019-11-02 00:00:00,1572652800000,9231.4,9270.76,9209.16,9238.38,2957.045681
2019-11-02 02:00:00,1572660000000,9238.37,9251.01,9209.99,9236.67,1979.40284
2019-11-02 04:00:00,1572667200000,9236.27,9242.95,9191.02,9216.7,1577.844201
2019-11-02 06:00:00,1572674400000,9217.44,9224.35,9186.21,9213.97,1497.896267
2019-11-02 08:00:00,1572681600000,9213.97,9240.59,9194.19,9208.9,2059.986778
2019-11-02 10:00:00,1572688800000,9209.4,9255.0,9201.55,9241.14,1952.46734
2019-11-02 12:00:00,1572696000000,9242.1,9373.74,9201.02,9350.24,7489.641009
2019-11-02 14:00:00,1572703200000,9350.25,9353.98,9273.15,9324.36,3258.451309
2019-11-02 16:00:00,1572710400000,9323.01,9338.81,9281.0,9288.39,2174.206296
2019-11-02 18:00:00,1572717600000,9288.38,9320.0,9264.59,9315.92,1930.653573
2019-11-02 20:00:00,1572724800000,9315.2,9318.73,9271.02,9271.97,1207.408646
2019-11-02 22:00:00,1572732000000,9271.97,9299.77,9270.52,9289.52,838.056888
2019-11-03 00:00:00,1572739200000,9289.85,9340.35,9288.11,9315.14,1554.081212
2019-11-03 02:00:00,1572746400000,9315.22,9362.57,9311.65,9330.32,2483.818498
2019-11-03 04:00:00,1572753600000,9329.75,9330.4,9225.01,9263.05,3135.322642
2019-11-03 06:00:00,1572760800000,9262.9,9284.59,9236.57,9239.61,1327.536619
2019-11-03 08:00:00,1572768000000,9239.6,9241.0,9182.0,9212.8,2733.394159
2019-11-03 10:00:00,1572775200000,9212.8,9216.85,9109.0,9156.52,4196.227851
2019-11-03 12:00:00,1572782400000,9155.26,9179.32,9101.0,9163.76,2203.648616
2019-11-03 14:00:00,1572789600000,9163.76,9186.63,9130.0,9177.68,1958.845958
2019-11-03 16:00:00,1572796800000,9177.94,9180.0,9112.95,9157.51,2051.174842
2019-11-03 18:00:00,1572804000000,9157.72,9174.06,9130.67,9135.12,1184.417315
2019-11-03 20:00:00,1572811200000,9135.11,9171.99,9066.14,9145.31,2655.675878
2019-11-03 22:00:00,1572818400000,9145.31,9236.0,9142.98,9194.71,2410.234689
2019-11-04 00:00:00,1572825600000,9196.46,9209.82,9136.0,9158.04,1645.581301
2019-11-04 02:00:00,1572832800000,9158.04,9180.95,9133.0,9152.73,1299.245533
2019-11-04 04:00:00,1572840000000,9152.16,9158.83,9115.84,9141.04,1976.598978
2019-11-04 06:00:00,1572847200000,9140.0,9197.34,9133.71,9179.42,2781.200663
2019-11-04 08:00:00,1572854400000,9179.66,9194.59,9143.68,9173.5,2158.876236
2019-11-04 10:00:00,1572861600000,9173.5,9273.0,9172.31,9260.2,4831.429416
2019-11-04 12:00:00,1572868800000,9260.2,9279.99,9228.0,9243.94,3433.100773
2019-11-04 14:00:00,1572876000000,9244.15,9324.41,9242.73,9295.16,5105.438788
2019-11-04 16:00:00,1572883200000,9295.0,9325.0,9277.0,9312.01,3969.356271
2019-11-04 18:00:00,1572890400000,9312.01,9313.71,9245.17,9262.63,2630.570487
2019-11-04 20:00:00,1572897600000,9262.37,9513.68,9260.0,9412.85,11328.233046
2019-11-04 22:00:00,1572904800000,9412.02,9424.89,9338.0,9393.35,4734.824785
2019-11-05 00:00:00,1572912000000,9392.4,9449.0,9353.45,9427.15,3692.447233
2019-11-05 02:00:00,1572919200000,9427.67,9454.95,9385.57,9404.24,3553.501788
2019-11-05 04:00:00,1572926400000,9404.02,9404.06,9353.76,9381.4,2319.441927
