"Time","Contracts","Funding Interval","Funding Rate"
"2022-10-12 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-12 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-11 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-11 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-11 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-10 17:00:00","BTCUSDT Perpetual","8h","0.006069%"
"2022-10-10 09:00:00","BTCUSDT Perpetual","8h","0.006240%"
"2022-10-10 01:00:00","BTCUSDT Perpetual","8h","0.001951%"
"2022-10-09 17:00:00","BTCUSDT Perpetual","8h","0.001776%"
"2022-10-09 09:00:00","BTCUSDT Perpetual","8h","0.003245%"
"2022-10-09 01:00:00","BTCUSDT Perpetual","8h","0.004149%"
"2022-10-08 17:00:00","BTCUSDT Perpetual","8h","0.007345%"
"2022-10-08 09:00:00","BTCUSDT Perpetual","8h","0.003850%"
"2022-10-08 01:00:00","BTCUSDT Perpetual","8h","0.007513%"
"2022-10-07 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-07 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-07 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-06 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-06 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-06 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-05 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-05 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-05 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-04 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-04 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-04 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-03 17:00:00","BTCUSDT Perpetual","8h","0.008316%"
"2022-10-03 09:00:00","BTCUSDT Perpetual","8h","0.003995%"
"2022-10-03 01:00:00","BTCUSDT Perpetual","8h","0.005384%"
"2022-10-02 17:00:00","BTCUSDT Perpetual","8h","0.005816%"
"2022-10-02 09:00:00","BTCUSDT Perpetual","8h","0.004262%"
"2022-10-02 01:00:00","BTCUSDT Perpetual","8h","0.007004%"
"2022-10-01 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-01 09:00:00","BTCUSDT Perpetual","8h","0.003198%"
"2022-10-01 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-30 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-30 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-30 01:00:00","BTCUSDT Perpetual","8h","0.006685%"
"2022-09-29 17:00:00","BTCUSDT Perpetual","8h","0.007640%"
"2022-09-29 09:00:00","BTCUSDT Perpetual","8h","0.005681%"
"2022-09-29 01:00:00","BTCUSDT Perpetual","8h","0.005332%"
"2022-09-28 17:00:00","BTCUSDT Perpetual","8h","-0.001071%"
"2022-09-28 09:00:00","BTCUSDT Perpetual","8h","0.001140%"
"2022-09-28 01:00:00","BTCUSDT Perpetual","8h","0.008538%"
"2022-09-27 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-27 09:00:00","BTCUSDT Perpetual","8h","0.002244%"
"2022-09-27 01:00:00","BTCUSDT Perpetual","8h","0.004497%"
"2022-09-26 17:00:00","BTCUSDT Perpetual","8h","0.003695%"
"2022-09-26 09:00:00","BTCUSDT Perpetual","8h","-0.000660%"
"2022-09-26 01:00:00","BTCUSDT Perpetual","8h","0.002593%"
"2022-09-25 17:00:00","BTCUSDT Perpetual","8h","0.003652%"
"2022-09-25 09:00:00","BTCUSDT Perpetual","8h","0.000998%"
"2022-09-25 01:00:00","BTCUSDT Perpetual","8h","0.005345%"
"2022-09-24 17:00:00","BTCUSDT Perpetual","8h","0.001676%"
"2022-09-24 09:00:00","BTCUSDT Perpetual","8h","0.002947%"
"2022-09-24 01:00:00","BTCUSDT Perpetual","8h","-0.005008%"
"2022-09-23 17:00:00","BTCUSDT Perpetual","8h","0.002959%"
"2022-09-23 09:00:00","BTCUSDT Perpetual","8h","0.007261%"
"2022-09-23 01:00:00","BTCUSDT Perpetual","8h","0.007743%"
"2022-09-22 17:00:00","BTCUSDT Perpetual","8h","-0.006911%"
"2022-09-22 09:00:00","BTCUSDT Perpetual","8h","-0.011779%"
"2022-09-22 01:00:00","BTCUSDT Perpetual","8h","0.002732%"
"2022-09-21 17:00:00","BTCUSDT Perpetual","8h","0.001478%"
"2022-09-21 09:00:00","BTCUSDT Perpetual","8h","0.005185%"
"2022-09-21 01:00:00","BTCUSDT Perpetual","8h","0.001720%"
"2022-09-20 17:00:00","BTCUSDT Perpetual","8h","0.005855%"
"2022-09-20 09:00:00","BTCUSDT Perpetual","8h","0.007813%"
"2022-09-20 01:00:00","BTCUSDT Perpetual","8h","0.000600%"
"2022-09-19 17:00:00","BTCUSDT Perpetual","8h","-0.009289%"
"2022-09-19 09:00:00","BTCUSDT Perpetual","8h","0.003581%"
"2022-09-19 01:00:00","BTCUSDT Perpetual","8h","0.003564%"
"2022-09-18 17:00:00","BTCUSDT Perpetual","8h","0.007820%"
"2022-09-18 09:00:00","BTCUSDT Perpetual","8h","0.006428%"
"2022-09-18 01:00:00","BTCUSDT Perpetual","8h","0.001467%"
"2022-09-17 17:00:00","BTCUSDT Perpetual","8h","0.004336%"
"2022-09-17 09:00:00","BTCUSDT Perpetual","8h","0.003024%"
"2022-09-17 01:00:00","BTCUSDT Perpetual","8h","0.002919%"
"2022-09-16 17:00:00","BTCUSDT Perpetual","8h","0.004349%"
"2022-09-16 09:00:00","BTCUSDT Perpetual","8h","0.008055%"
"2022-09-16 01:00:00","BTCUSDT Perpetual","8h","0.000813%"
"2022-09-15 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-15 09:00:00","BTCUSDT Perpetual","8h","0.000324%"
"2022-09-15 01:00:00","BTCUSDT Perpetual","8h","0.001004%"
"2022-09-14 17:00:00","BTCUSDT Perpetual","8h","0.000727%"
"2022-09-14 09:00:00","BTCUSDT Perpetual","8h","-0.003953%"
"2022-09-14 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-13 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-13 09:00:00","BTCUSDT Perpetual","8h","0.009965%"
"2022-09-13 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-12 17:00:00","BTCUSDT Perpetual","8h","0.008246%"
"2022-09-12 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-12 01:00:00","BTCUSDT Perpetual","8h","0.006711%"
"2022-09-11 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-11 09:00:00","BTCUSDT Perpetual","8h","0.007115%"
"2022-09-11 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-10 17:00:00","BTCUSDT Perpetual","8h","0.009764%"
"2022-09-10 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-10 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-09 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-09 09:00:00","BTCUSDT Perpetual","8h","0.001312%"
"2022-09-09 01:00:00","BTCUSDT Perpetual","8h","0.005667%"
"2022-09-08 17:00:00","BTCUSDT Perpetual","8h","0.003326%"
"2022-09-08 09:00:00","BTCUSDT Perpetual","8h","0.000620%"
"2022-09-08 01:00:00","BTCUSDT Perpetual","8h","-0.003480%"
"2022-09-07 17:00:00","BTCUSDT Perpetual","8h","0.002729%"
"2022-09-07 09:00:00","BTCUSDT Perpetual","8h","-0.008601%"
"2022-09-07 01:00:00","BTCUSDT Perpetual","8h","0.003473%"
"2022-09-06 17:00:00","BTCUSDT Perpetual","8h","0.000343%"
"2022-09-06 09:00:00","BTCUSDT Perpetual","8h","-0.000245%"
"2022-09-06 01:00:00","BTCUSDT Perpetual","8h","0.004712%"
"2022-09-05 17:00:00","BTCUSDT Perpetual","8h","-0.000737%"
"2022-09-05 09:00:00","BTCUSDT Perpetual","8h","0.008292%"
"2022-09-05 01:00:00","BTCUSDT Perpetual","8h","0.002119%"
"2022-09-04 17:00:00","BTCUSDT Perpetual","8h","0.005463%"
"2022-09-04 09:00:00","BTCUSDT Perpetual","8h","0.000588%"
"2022-09-04 01:00:00","BTCUSDT Perpetual","8h","0.001115%"
"2022-09-03 17:00:00","BTCUSDT Perpetual","8h","0.009441%"
"2022-09-03 09:00:00","BTCUSDT Perpetual","8h","-0.000199%"
"2022-09-03 01:00:00","BTCUSDT Perpetual","8h","0.004443%"
"2022-09-02 17:00:00","BTCUSDT Perpetual","8h","0.004905%"
"2022-09-02 09:00:00","BTCUSDT Perpetual","8h","0.002498%"
"2022-09-02 01:00:00","BTCUSDT Perpetual","8h","0.003630%"
"2022-09-01 17:00:00","BTCUSDT Perpetual","8h","0.002266%"
"2022-09-01 09:00:00","BTCUSDT Perpetual","8h","0.009390%"
"2022-09-01 01:00:00","BTCUSDT Perpetual","8h","0.004949%"
"2022-08-31 17:00:00","BTCUSDT Perpetual","8h","0.005779%"
"2022-08-31 09:00:00","BTCUSDT Perpetual","8h","-0.002089%"
"2022-08-31 01:00:00","BTCUSDT Perpetual","8h","-0.005903%"
"2022-08-30 17:00:00","BTCUSDT Perpetual","8h","-0.003356%"
"2022-08-30 09:00:00","BTCUSDT Perpetual","8h","0.001122%"
"2022-08-30 01:00:00","BTCUSDT Perpetual","8h","-0.006193%"
"2022-08-29 17:00:00","BTCUSDT Perpetual","8h","-0.010056%"
"2022-08-29 09:00:00","BTCUSDT Perpetual","8h","-0.013623%"
"2022-08-29 01:00:00","BTCUSDT Perpetual","8h","-0.002443%"
"2022-08-28 17:00:00","BTCUSDT Perpetual","8h","-0.008758%"
"2022-08-28 09:00:00","BTCUSDT Perpetual","8h","-0.001396%"
"2022-08-28 01:00:00","BTCUSDT Perpetual","8h","-0.004396%"
"2022-08-27 17:00:00","BTCUSDT Perpetual","8h","-0.006290%"
"2022-08-27 09:00:00","BTCUSDT Perpetual","8h","-0.002808%"
"2022-08-27 01:00:00","BTCUSDT Perpetual","8h","0.002599%"
"2022-08-26 17:00:00","BTCUSDT Perpetual","8h","0.003207%"
"2022-08-26 09:00:00","BTCUSDT Perpetual","8h","-0.001707%"
"2022-08-26 01:00:00","BTCUSDT Perpetual","8h","0.004481%"
"2022-08-25 17:00:00","BTCUSDT Perpetual","8h","0.001547%"
"2022-08-25 09:00:00","BTCUSDT Perpetual","8h","0.000128%"
"2022-08-25 01:00:00","BTCUSDT Perpetual","8h","-0.003538%"
"2022-08-24 17:00:00","BTCUSDT Perpetual","8h","-0.004353%"
"2022-08-24 09:00:00","BTCUSDT Perpetual","8h","0.002509%"
"2022-08-24 01:00:00","BTCUSDT Perpetual","8h","0.000846%"
"2022-08-23 17:00:00","BTCUSDT Perpetual","8h","-0.004031%"
"2022-08-23 09:00:00","BTCUSDT Perpetual","8h","-0.003345%"
"2022-08-23 01:00:00","BTCUSDT Perpetual","8h","0.004021%"
"2022-08-22 17:00:00","BTCUSDT Perpetual","8h","-0.003215%"
"2022-08-22 09:00:00","BTCUSDT Perpetual","8h","-0.008092%"
"2022-08-22 01:00:00","BTCUSDT Perpetual","8h","-0.003234%"
"2022-08-21 17:00:00","BTCUSDT Perpetual","8h","-0.003589%"
"2022-08-21 09:00:00","BTCUSDT Perpetual","8h","-0.001957%"
"2022-08-21 01:00:00","BTCUSDT Perpetual","8h","-0.004567%"
"2022-08-20 17:00:00","BTCUSDT Perpetual","8h","-0.006722%"
"2022-08-20 09:00:00","BTCUSDT Perpetual","8h","0.001070%"
"2022-08-20 01:00:00","BTCUSDT Perpetual","8h","-0.006746%"
"2022-08-19 17:00:00","BTCUSDT Perpetual","8h","0.002108%"
"2022-08-19 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-08-19 01:00:00","BTCUSDT Perpetual","8h","0.007171%"
"2022-08-18 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-08-18 09:00:00","BTCUSDT Perpetual","8h","0.008391%"
"2022-08-18 01:00:00","BTCUSDT Perpetual","8h","0.009364%"
"2022-08-17 17:00:00","BTCUSDT Perpetual","8h","0.000262%"
"2022-08-17 09:00:00","BTCUSDT Perpetual","8h","0.000466%"
"2022-08-17 01:00:00","BTCUSDT Perpetual","8h","0.002870%"
"2022-08-16 17:00:00","BTCUSDT Perpetual","8h","0.000156%"
"2022-08-16 09:00:00","BTCUSDT Perpetual","8h","0.003243%"
"2022-08-16 01:00:00","BTCUSDT Perpetual","8h","-0.001339%"
"2022-08-15 17:00:00","BTCUSDT Perpetual","8h","0.001077%"
"2022-08-15 09:00:00","BTCUSDT Perpetual","8h","-0.003766%"
"2022-08-15 01:00:00","BTCUSDT Perpetual","8h","0.001239%"
"2022-08-14 17:00:00","BTCUSDT Perpetual","8h","-0.000333%"
"2022-08-14 09:00:00","BTCUSDT Perpetual","8h","0.002396%"
"2022-08-14 01:00:00","BTCUSDT Perpetual","8h","0.002154%"
"2022-08-13 17:00:00","BTCUSDT Perpetual","8h","0.008454%"
"2022-08-13 09:00:00","BTCUSDT Perpetual","8h","-0.003559%"
"2022-08-13 01:00:00","BTCUSDT Perpetual","8h","-0.003384%"
"2022-08-12 17:00:00","BTCUSDT Perpetual","8h","0.001412%"
"2022-08-12 09:00:00","BTCUSDT Perpetual","8h","0.009024%"
"2022-08-12 01:00:00","BTCUSDT Perpetual","8h","0.004911%"
"2022-08-11 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-08-11 09:00:00","BTCUSDT Perpetual","8h","0.007206%"
"2022-08-11 01:00:00","BTCUSDT Perpetual","8h","0.009440%"
"2022-08-10 17:00:00","BTCUSDT Perpetual","8h","0.000581%"
"2022-08-10 09:00:00","BTCUSDT Perpetual","8h","-0.001314%"
"2022-08-10 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-08-09 17:00:00","BTCUSDT Perpetual","8h","0.007920%"
"2022-08-09 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-08-09 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-08-08 17:00:00","BTCUSDT Perpetual","8h","0.002790%"
"2022-08-08 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-08-08 01:00:00","BTCUSDT Perpetual","8h","0.002401%"
"2022-08-07 17:00:00","BTCUSDT Perpetual","8h","-0.000737%"
"2022-08-07 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-08-07 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-08-06 17:00:00","BTCUSDT Perpetual","8h","0.008589%"
"2022-08-06 09:00:00","BTCUSDT Perpetual","8h","0.006888%"
"2022-08-06 01:00:00","BTCUSDT Perpetual","8h","0.002114%"
"2022-08-05 17:00:00","BTCUSDT Perpetual","8h","0.006774%"
"2022-08-05 09:00:00","BTCUSDT Perpetual","8h","0.001692%"
"2022-08-05 01:00:00","BTCUSDT Perpetual","8h","0.001436%"
"2022-08-04 17:00:00","BTCUSDT Perpetual","8h","0.001777%"
"2022-08-04 09:00:00","BTCUSDT Perpetual","8h","-0.000191%"
"2022-08-04 01:00:00","BTCUSDT Perpetual","8h","0.004382%"
"2022-08-03 17:00:00","BTCUSDT Perpetual","8h","-0.003960%"
"2022-08-03 09:00:00","BTCUSDT Perpetual","8h","0.000328%"
"2022-08-03 01:00:00","BTCUSDT Perpetual","8h","0.005885%"
"2022-08-02 17:00:00","BTCUSDT Perpetual","8h","0.009733%"
"2022-08-02 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-08-02 01:00:00","BTCUSDT Perpetual","8h","0.006449%"
"2022-08-01 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-08-01 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-08-01 01:00:00","BTCUSDT Perpetual","8h","0.006281%"
"2022-07-31 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-31 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-31 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-30 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-30 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-30 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-29 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-29 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-29 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-28 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-28 09:00:00","BTCUSDT Perpetual","8h","0.009229%"
"2022-07-28 01:00:00","BTCUSDT Perpetual","8h","0.002951%"
"2022-07-27 17:00:00","BTCUSDT Perpetual","8h","0.005085%"
"2022-07-27 09:00:00","BTCUSDT Perpetual","8h","0.004591%"
"2022-07-27 01:00:00","BTCUSDT Perpetual","8h","0.008659%"
"2022-07-26 17:00:00","BTCUSDT Perpetual","8h","0.003654%"
"2022-07-26 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-26 01:00:00","BTCUSDT Perpetual","8h","0.002319%"
"2022-07-25 17:00:00","BTCUSDT Perpetual","8h","0.001238%"
"2022-07-25 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-25 01:00:00","BTCUSDT Perpetual","8h","0.008293%"
"2022-07-24 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-24 09:00:00","BTCUSDT Perpetual","8h","0.003770%"
"2022-07-24 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-23 17:00:00","BTCUSDT Perpetual","8h","0.001021%"
"2022-07-23 09:00:00","BTCUSDT Perpetual","8h","0.009043%"
"2022-07-23 01:00:00","BTCUSDT Perpetual","8h","0.005171%"
"2022-07-22 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-22 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-22 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-21 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-21 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-21 01:00:00","BTCUSDT Perpetual","8h","0.008118%"
"2022-07-20 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-20 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-20 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-19 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-19 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-19 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-18 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-18 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-18 01:00:00","BTCUSDT Perpetual","8h","0.008709%"
"2022-07-17 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-17 09:00:00","BTCUSDT Perpetual","8h","0.008038%"
"2022-07-17 01:00:00","BTCUSDT Perpetual","8h","0.000799%"
"2022-07-16 17:00:00","BTCUSDT Perpetual","8h","0.007996%"
"2022-07-16 09:00:00","BTCUSDT Perpetual","8h","0.006055%"
"2022-07-16 01:00:00","BTCUSDT Perpetual","8h","0.001601%"
"2022-07-15 17:00:00","BTCUSDT Perpetual","8h","0.001401%"
"2022-07-15 09:00:00","BTCUSDT Perpetual","8h","0.009257%"
"2022-07-15 01:00:00","BTCUSDT Perpetual","8h","0.003451%"
"2022-07-14 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-14 09:00:00","BTCUSDT Perpetual","8h","0.000057%"
"2022-07-14 01:00:00","BTCUSDT Perpetual","8h","-0.001218%"
"2022-07-13 17:00:00","BTCUSDT Perpetual","8h","0.000617%"
"2022-07-13 09:00:00","BTCUSDT Perpetual","8h","-0.001204%"
"2022-07-13 01:00:00","BTCUSDT Perpetual","8h","0.002667%"
"2022-07-12 17:00:00","BTCUSDT Perpetual","8h","0.006433%"
"2022-07-12 09:00:00","BTCUSDT Perpetual","8h","0.008003%"
"2022-07-12 01:00:00","BTCUSDT Perpetual","8h","0.008500%"
"2022-07-11 17:00:00","BTCUSDT Perpetual","8h","0.007236%"
"2022-07-11 09:00:00","BTCUSDT Perpetual","8h","0.004542%"
"2022-07-11 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-10 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-10 09:00:00","BTCUSDT Perpetual","8h","0.009962%"
"2022-07-10 01:00:00","BTCUSDT Perpetual","8h","0.006143%"
"2022-07-09 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-09 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-09 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-08 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-08 09:00:00","BTCUSDT Perpetual","8h","0.000212%"
"2022-07-08 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-07 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-07 09:00:00","BTCUSDT Perpetual","8h","0.005274%"
"2022-07-07 01:00:00","BTCUSDT Perpetual","8h","0.008373%"
"2022-07-06 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-06 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-06 01:00:00","BTCUSDT Perpetual","8h","0.000119%"
"2022-07-05 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-07-05 09:00:00","BTCUSDT Perpetual","8h","0.005291%"
"2022-07-05 01:00:00","BTCUSDT Perpetual","8h","0.002248%"
"2022-07-04 17:00:00","BTCUSDT Perpetual","8h","0.004630%"
"2022-07-04 09:00:00","BTCUSDT Perpetual","8h","0.007792%"
"2022-07-04 01:00:00","BTCUSDT Perpetual","8h","0.007251%"
"2022-07-03 17:00:00","BTCUSDT Perpetual","8h","0.004779%"
"2022-07-03 09:00:00","BTCUSDT Perpetual","8h","0.003570%"
"2022-07-03 01:00:00","BTCUSDT Perpetual","8h","0.002120%"
"2022-07-02 17:00:00","BTCUSDT Perpetual","8h","0.005218%"
"2022-07-02 09:00:00","BTCUSDT Perpetual","8h","-0.002913%"
"2022-07-02 01:00:00","BTCUSDT Perpetual","8h","-0.008061%"
"2022-07-01 17:00:00","BTCUSDT Perpetual","8h","0.003106%"
"2022-07-01 09:00:00","BTCUSDT Perpetual","8h","-0.008786%"
"2022-07-01 01:00:00","BTCUSDT Perpetual","8h","-0.015879%"
"2022-06-30 17:00:00","BTCUSDT Perpetual","8h","-0.005159%"
"2022-06-30 09:00:00","BTCUSDT Perpetual","8h","0.000324%"
"2022-06-30 01:00:00","BTCUSDT Perpetual","8h","0.005319%"
"2022-06-29 17:00:00","BTCUSDT Perpetual","8h","0.008335%"
"2022-06-29 09:00:00","BTCUSDT Perpetual","8h","0.004188%"
"2022-06-29 01:00:00","BTCUSDT Perpetual","8h","0.002435%"
"2022-06-28 17:00:00","BTCUSDT Perpetual","8h","-0.005613%"
"2022-06-28 09:00:00","BTCUSDT Perpetual","8h","-0.002586%"
"2022-06-28 01:00:00","BTCUSDT Perpetual","8h","0.006102%"
"2022-06-27 17:00:00","BTCUSDT Perpetual","8h","0.003533%"
"2022-06-27 09:00:00","BTCUSDT Perpetual","8h","0.007820%"
"2022-06-27 01:00:00","BTCUSDT Perpetual","8h","0.000669%"
"2022-06-26 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-06-26 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-06-26 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-06-25 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-06-25 09:00:00","BTCUSDT Perpetual","8h","0.002621%"
"2022-06-25 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-06-24 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-06-24 09:00:00","BTCUSDT Perpetual","8h","0.006006%"
"2022-06-24 01:00:00","BTCUSDT Perpetual","8h","-0.002656%"
"2022-06-23 17:00:00","BTCUSDT Perpetual","8h","-0.001577%"
"2022-06-23 09:00:00","BTCUSDT Perpetual","8h","-0.000872%"
"2022-06-23 01:00:00","BTCUSDT Perpetual","8h","-0.001640%"
"2022-06-22 17:00:00","BTCUSDT Perpetual","8h","-0.002982%"
"2022-06-22 09:00:00","BTCUSDT Perpetual","8h","0.000178%"
"2022-06-22 01:00:00","BTCUSDT Perpetual","8h","0.002028%"
"2022-06-21 17:00:00","BTCUSDT Perpetual","8h","0.004967%"
"2022-06-21 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-06-21 01:00:00","BTCUSDT Perpetual","8h","0.006080%"
"2022-06-20 17:00:00","BTCUSDT Perpetual","8h","-0.000540%"
"2022-06-20 09:00:00","BTCUSDT Perpetual","8h","0.000873%"
"2022-06-20 01:00:00","BTCUSDT Perpetual","8h","0.007239%"
"2022-06-19 17:00:00","BTCUSDT Perpetual","8h","-0.004559%"
"2022-06-19 09:00:00","BTCUSDT Perpetual","8h","0.004243%"
"2022-06-19 01:00:00","BTCUSDT Perpetual","8h","0.005227%"
"2022-06-18 17:00:00","BTCUSDT Perpetual","8h","0.004575%"
"2022-06-18 09:00:00","BTCUSDT Perpetual","8h","0.007356%"
"2022-06-18 01:00:00","BTCUSDT Perpetual","8h","0.005092%"
"2022-06-17 17:00:00","BTCUSDT Perpetual","8h","-0.009486%"
"2022-06-17 09:00:00","BTCUSDT Perpetual","8h","-0.002222%"
"2022-06-17 01:00:00","BTCUSDT Perpetual","8h","-0.005277%"
"2022-06-16 17:00:00","BTCUSDT Perpetual","8h","0.004475%"
"2022-06-16 09:00:00","BTCUSDT Perpetual","8h","-0.004114%"
"2022-06-16 01:00:00","BTCUSDT Perpetual","8h","-0.000666%"
"2022-06-15 17:00:00","BTCUSDT Perpetual","8h","-0.007240%"
"2022-06-15 09:00:00","BTCUSDT Perpetual","8h","-0.002077%"
"2022-06-15 01:00:00","BTCUSDT Perpetual","8h","-0.005186%"
"2022-06-14 17:00:00","BTCUSDT Perpetual","8h","-0.010037%"
"2022-06-14 09:00:00","BTCUSDT Perpetual","8h","0.004088%"
"2022-06-14 01:00:00","BTCUSDT Perpetual","8h","-0.000580%"
"2022-06-13 17:00:00","BTCUSDT Perpetual","8h","-0.003182%"
"2022-06-13 09:00:00","BTCUSDT Perpetual","8h","0.005615%"
"2022-06-13 01:00:00","BTCUSDT Perpetual","8h","0.000439%"
"2022-06-12 17:00:00","BTCUSDT Perpetual","8h","0.000563%"
"2022-06-12 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-06-12 01:00:00","BTCUSDT Perpetual","8h","0.006606%"
"2022-06-11 17:00:00","BTCUSDT Perpetual","8h","0.000379%"
"2022-06-11 09:00:00","BTCUSDT Perpetual","8h","0.001762%"
"2022-06-11 01:00:00","BTCUSDT Perpetual","8h","0.003503%"
"2022-06-10 17:00:00","BTCUSDT Perpetual","8h","0.009289%"
"2022-06-10 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-06-10 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-06-09 17:00:00","BTCUSDT Perpetual","8h","0.009106%"
