,agent0,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,mean,ensemble
dqn(s-raw),0.0109063145017389,0.0302966454065009,0.022497717213528,0.0015616280605095,-0.0096698999220354,-0.0018219031281508,-0.0198069702236894,,,0.00485193312977167,0.02332051256170707
dueling-dqn(s-raw),-0.0127671770815115,0.0302966454065009,0.0237765525029572,-0.0068465372429867,-0.0005194970953956,0.025337341357984,-0.0198069702236894,-0.0065379902380061,-0.0420122204563312,-0.0010088725633864888,0.02332051256170707
ppo(s-raw),0.0102592091873384,0.030640298724872,0.0230585481136729,0.0022751825967196,-0.0154210526199127,-0.0236726210766766,-0.0215432459183157,-0.0203133347684155,-0.0020282541110691,-0.0018605855413096335,
dqn(m-raw),-0.0144259808354328,-0.0848564618835073,0.0107606526803425,-0.001651819886734,-0.0096698999220354,,0.0515934410907886,-0.0065379902380061,-0.0420122204563312,-0.012100034931364464,0.02332051256170707
dueling-dqn(m-raw),0.0109063145017389,-0.0245872724784427,-0.0190064965350916,-0.001651819886734,0.0727316966739336,-0.0248168389835561,-0.0198069702236894,0.0067759276477468,-0.0034839139375432,-0.0003265970246264108,-0.05652569188166036
ppo(m-raw),0.0098605800239162,0.0302597161202499,0.0238308843889802,0.0025164006212024,-0.0304555798761207,-0.0119108609305484,-0.0198978335213878,-0.0312885448515289,-0.0240142677073217,-0.005677722859173199,0.02332051256170707
dqn(a),0.0049943586235689,-0.0382101208216896,-0.0407506934703333,-0.0167760706123714,-0.0316677695968153,-0.0245662291478522,-0.050766158499401,-0.0383790936384798,-0.0358494709767684,-0.0302190275711269,0.03444369076518304
dueling-dqn(a),-0.0391555321936541,0.0263025804566041,-0.0114373001909185,-0.0106187330986084,0.0008739754147274,0.025337341357984,-0.0383988192888636,-0.0154620514255296,-0.056848039706342,-0.01326739763051119,0.02332051256170707
ppo(a),-0.1021612403898356,-0.1077946528442361,-0.011940869715871,-0.0464242279857518,-0.0517699831626904,-0.0798795102742976,-0.0726002650812467,-0.0822626055085563,-0.1022091043990651,-0.07300471770683896,-0.019019251564929594
