,sortino,volatility,max drawdown,coverage(%),return(%)
dqn(s-raw),0.02332051256170707,444.6957918565165,-2.0298428658333623,0.034722222222222224,20.61041948833015
dueling-dqn(s-raw),0.02332051256170707,444.6957918565165,-2.0298428658333623,0.034722222222222224,20.61041948833015
ppo(s-raw),,0.0,0.0,0.0,0.0
dqn(m-raw),0.02332051256170707,444.6957918565165,-2.0298428658333623,0.034722222222222224,20.61041948833015
dueling-dqn(m-raw),-0.05652569188166036,228.9648688183082,-1.5412527370972753,97.1875,-23.247504444663207
ppo(m-raw),0.02332051256170707,444.6957918565165,-2.0298428658333623,0.034722222222222224,20.61041948833015
dqn(a),0.03444369076518304,386.69626569103747,-2.108736733720462,15.659722222222221,26.126653681934446
dueling-dqn(a),0.02332051256170707,444.6957918565165,-2.0298428658333623,0.034722222222222224,20.61041948833015
ppo(a),-0.019019251564929594,357.3235315395353,-1.6965422827525125,42.326388888888886,-13.210605588740767
rp,0.0019344250863156073,104.43547581494474,-2.9764391541470445,65.20833333333333,0.41550775494207276
bh,0.02099405244953195,443.2393161700485,-2.0298428658333623,0.06944444444444445,18.542630748125838
hp,-0.15476831005756972,212.39094061136674,-1.6981045481083952,72.32638888888889,-65.05412325707725
